,date,dateYear,dateMonth,dateDay,rating,userName,content
27,20230908,2023,9,8,5,구준기,배송이 진짜 빠르고 정품보상 참 좋습니다. 저렴한 가격으로 매번 사용해요.
28,20230908,2023,9,8,5,MuGeun jeon,일단 써봄
29,20230907,2023,9,7,5,홍태환,저렴한 가격에 나 자신에게 주는 선물 결제했어요. 선물 빨리 받을 수 있어서 넘 좋아영
30,20230907,2023,9,7,5,원채빈,가격이 너무너무 착해서 정품 감정 받아봤어요... 정품 판정받고 한번 더 감동~~~ 앞으로 백화점 안가도 될것같아요.
31,20230907,2023,9,7,5,DIAMOND,좋아요!!! 저의 최애앱입니다. 추워서 밖에 나가기 싫은데 잘 됐어요ㅎㅎ 따땃하게 집에서 빠르고 간편하게 쇼핑^.~
32,20230906,2023,9,6,5,채동혁,지금까지는 너무너무 만족하며 잘 쓰고 있습니다!!
33,20230906,2023,9,6,5,류연재,화면서 본 그대로 딱 집앞에 도착! 배송도 빨리오니까 기분이 좋아요 ㅎㅎ
34,20230906,2023,9,6,5,YASU,엄마 생일이라서 선물 준비하면서 이용했는데 아주 만족합니다. 무엇보다 엄마가 아주 만족하세요:)
35,20230906,2023,9,6,5,까만여우,어그제 백화점 사이트에서 주문한 것보다 더 저렴해서 결제취소하고 샀어요 ㅋㅋ
36,20230905,2023,9,5,5,부자되쟝,늘 그랫듯 발란은 무조건 약속한 날짜에 딱 맞춰 도착했습니다. 감사합니다.
37,20230904,2023,9,4,4,이현숙,너무이뻐요
38,20230904,2023,9,4,1,이기웅,결재취소 안됨 일부러 오류나게 해놨는지 계속 오류뜸 쓰레기
39,20230904,2023,9,4,5,비타민씨,생각보다 더더 빨리 도착했어요! 너무 고맙습니다. 번창하세요!
40,20230904,2023,9,4,5,엔돌핀한,배송도 정말로 빠르고 핏~~도 좋습니다!!
41,20230904,2023,9,4,1,김우진,별 한 개도 아깝다 고객센터라는게 있긴한건가
42,20230903,2023,9,3,5,염유이,백화점 쇼핑갔더니 사이즈 없어서 못 샀는데.... 발란에서 더 싸게 샀어요>_<
43,20230903,2023,9,3,5,또다른시작,오늘배송!!!! 정말로 혁명이 아닌가요...... 주말 전에 꼭 받길 간절히 원했는데 진짜로 당일에 배송 와서 안도 했어요!!!!
44,20230903,2023,9,3,5,fake it,꾸준히 사용하고 있어용. 상품 업데이트랑 재고 관리를 잘 해서 좋습니당!!
45,20230901,2023,9,1,5,stranger,상품 각각을 판매자별로 최저가를 비교해주니까 너무너무 좋음!! 사이트 여러 곳 발품 팔 필요가 없다니…. ㅜㅜ 자주자주 이용할 거 같아요
46,20230831,2023,8,31,5,주아진,최저가 검색하여서 나온곳이라서 처음 이용해 봤는데…. 검수 영상도 찍어주니까 좀 더 안심하고 사용할 수 있을 거 같네요.
47,20230831,2023,8,31,5,사랑스러워,고객센터가 친절하고 응대도 잘해주시니 너무 호감이었어요. 고가 제품 판매하다보니 이런 서비스가 정말 중요한 거 같아요
48,20230831,2023,8,31,5,허태성,매일매일 최저가 상품을 갱신해주니까 더더 보는 맛이 있어요!!! 저렴하게 명품 건질 수 있는 최고의 쇼핑몰 ㅎㅎㅎ
49,20230831,2023,8,31,5,그레이,결제 이벤트를 많이 해서 좋아요~ 카카오페이 결제 이벤트때 구매하니 할인 많이 받을 수 있네요!!
50,20230830,2023,8,30,5,남소미,브랜드별로 인기상품들도 비교할 수 있어서 좋앙소!! 사실 브랜드 이름만 좀 알고 브랜드 내에서 뭐가 이쁘고 인기 있는건지 제 눈으로는 잘 모르겠는데 ㅋㅋ 랭킹 보면서 도움 많이 받고 있습니다.
51,20230830,2023,8,30,5,삼남매아빠_용자박,좋아요
