USER,DATE,STAR,LIKE,TITLE,REVIEW
Lee Hyunjoo 98,2023-06-05 07:39:52-07:00,5,1,발란은 나의 꿈,발란은 나의 꿈~ 발란에서 그동안 못샀던거 하나씩 거의 다 구매한거 같아요 처음엔 큰돈 주문이라 약간 의심되기도 했는데 상품 받아보니까 계속 주문하게 되더라구요
Saemi Nam,2023-06-05 07:39:50-07:00,5,1,깔끔해요,발란에 있는 제품사진들 다 깔끔하고 보기 좋아요. 이번에 구매했는데 검수영상도 보내주고 믿을만했어요. 앞으로 계속 이용해보려구요.
Ganghee Homin,2023-06-05 07:39:48-07:00,5,1,친구들한테 알려줬어요,여기 있는거 다 사고 싶어여ㅎ 가방 몇 개 질렀는데 친구들이 구하기 힘든건데 어디서 샀냐고 물어보더라구요ㅎㅎ 발란 딱 알려줬죠
Sungho Kyusan,2023-06-05 07:39:47-07:00,5,1,랭킹보는 재미 쏠쏠,장바구니 터질라고 해요 ㅋㅋㅋㅋㅋ 사고 싶은게 계속 눈에 보이네요 ㅋㅋㅋ 랭킹보는 재미도 쏠쏠하고 좋습니다 ㅋㅋㅋ
Youngcheol Chang,2023-06-05 07:39:45-07:00,5,1,빨라서 굿굿!!,배송빨라서 좋아요!! 굿굿!! 저번에 급하게 필요한 옷이 있었는데 빨리 와서 정말 좋았어요!!
Sungmin B,2023-06-05 07:39:43-07:00,5,1,대만족,이번에 새해선물 발란에서 샀는데 받은 사람이 너무 만족하더라구요 바빠서 직접 사러갈 시간 없어서 여기서 샀었는데 대만족이었어요
Eunhye Sunyup,2023-06-05 07:39:42-07:00,5,1,고맙습니다~,발란에서 제가 좋아하는 브랜드 구경하는게 요새 행복입니다~ 발란 고맙습니다~
Byungho Sungmi,2023-06-05 07:39:40-07:00,5,1,맘에 들어요!,샤넬 좋아하는데 여기 샤넬도 있더라구요? 하나 이번에 구매했는데 맘에 들어서 장바구니에 몇 개 더 담았어요!
Shin Jonghun,2023-06-05 07:39:38-07:00,5,1,이용하기 편리해요!,앱 이용하기 편리해요!! 발란 시그니처 파란색도 맘에 들고!! 하루에 한번은 앱 들어와서 장바구니 한번씩 확인하고 있어요!
Jcjy0323,2023-06-04 15:50:06-07:00,2,1,쟝바구니 오류,장바구니에 들어가면 상품이 안보여 구매 불가
Hong Hyuksang,2023-06-03 20:14:04-07:00,5,1,아른거립니다..,요즘 여기서 신발사느라 치킨 끊었습니다.. 근데 또 하나가 눈에 아른거립니다..
Echeon Heo,2023-06-03 20:14:02-07:00,5,1,다 살거야,갖고 싶은 가방들 여기 다 있어용 다 살거예요ㅠㅠ 열심히 돈벌어서 가방하나씩 모으고 있네용 ㅋㅋ
Jihoo Juwon,2023-06-03 20:14:01-07:00,5,1,브랜드 많아졌네여,브랜드 엄청 많아졌네여 명품 사고 싶어서 여기서 찾아보면 지금까지 다 있네여
Lisa Minhyoung,2023-06-03 20:13:58-07:00,5,1,새해 기념으로 플렉스,새해 기념으로 가방 두개 질렀어요 배송도 빨리왔고 제품도 양품이라 좋네요
Jiwon Jang 87,2023-06-03 20:13:56-07:00,5,1,발란 좋아졌음,처음에 발란 알았을때는 별로였는데 지금은 되게 좋아졌음. 예전에 그 발란이 아니더라. 이번에 가방하나 발란에서 주문함.
Kwon Eunkyoung,2023-06-03 20:13:55-07:00,5,1,앱 좋네요^^,쇼핑에 투자하는 시간 확 줄었어요^^ 뭐 사야되면 시간내서 백화점 가야됐는데 이제는 손가락 하나로 쓱쓱 보다가 주문하니까 시간도 절약되고 좋네요^^
Minsoo Yeon,2023-06-03 20:13:53-07:00,5,1,발란에 중독됐어요ㅋㅋ,발란에 중독됐어요 ㅋㅋ큐ㅠㅠㅠ 신발 좋아하는데 여기서 보다보면 시간이 훅훅 지나가네요ㅠ 그래도 끊을 수 없어요 ㅠㅠㅋㅋㅋ
Saemi Ryu,2023-06-03 20:13:51-07:00,5,1,발란 굿,패션 관련 직종이라 옷 입는거 잘하기도 하고 좋아하는데 이번에 발란에서 많이 샀네요 ㅎㅎ 바빠서 옷보러갈 시간 없으면 발란에서 사고 있어요 ㅎㅎㅎ
