USER,DATE,STAR,LIKE,TITLE,REVIEW
ㅍㄴ다쏘,2021-08-08 22:00:52-07:00,5,0,맘에 들어요!!!,프로모션들 정리가 잘 되어 있어서 마음에 들어요 쇼핑 정보 찾아다닐 거 없이 이걸로 땡이네요☺️☺️ 막 일일이 들어가 볼 거 없이 주루룩 나열해서 비교하기도 편하고요 어플 활용도가 몹시 높아요 만족🥰
커피커피커,2021-08-08 21:59:20-07:00,5,0,쇼핑하기 딱 좋네요,하나씩 찾아보는 것도 일인데 세일이나 행사를 싹 정리해주니 좋습니다. 직관적이라 구경하기도 편하고 앱이 버벅거리는 일도 없이 몹시 스무스하게 들어가네요 딱 맘에 드는 어플이라 꾸준히 쓰려고 합니다
유니맘줌마,2021-08-08 21:41:13-07:00,5,0,쇼핑하기 편해요,"한 곳에서 여러 상품을 볼 수 있어서 너무 좋네요
특히나 세일해주는 상품도 꽤 많고
익일배송이라고 적혀 있는 상품은 배송도
빠르게 되는것 같아서 더욱 마음에 들어요"
한다은e,2021-08-08 20:15:22-07:00,5,0,저렴하게 좋은 제품을 득템할 수 있어서 좋아요ㅎㅎ,명품은 정가주거나 상품권 할인으로 사야하는 줄 알았는데 훨씬 좋은 가격으로 좋은 상품 득템해서 기분이 좋네용ㅎㅎ 할인율 좋은 상품들도 많고 브랜드별 상품별로 한눈에 보기도 편하게 잘 정리되어 있어요!
Good things man,2021-08-07 22:37:12-07:00,1,0,주문하면 맘대로 그냥 취소해버려요,"안내도 없이 품절됐다며 주문한 상품 5가지를 한꺼번에 그냥 취소해버리네요. 
5개나 품절된걸 주문이 가능하게 해놨다는게 말이되나뇨?
그것도 제가 구매한 다섯가지 상품인거지. 
확률로는 구매 품목 100%가 환불 됐습니다. 

안내도 전혀 없어요. 미안하다는것도 전혀 없고. 
돈만 안뜯겼을 뿐. 돈까지 뜯겼으면 사기당할 뻔 했네요."
찬댕이12,2021-08-06 04:43:27-07:00,5,0,진짜 좋아요!,"왜 이제야 받았을까 싶네요..ㅎㅎ
명품은 나에게 투자하는 것이다 라는 마인드라서 자주 구매하는데요!
그럴때마다 백화점에 가서 샀는데 요즘 코로나 때문에 못하고있자나요..
그러던 중 이 어플을 알게됐는데 너무 편하네요 ㅎㅎ
다양한 프로모션도 진행하고 정품 프로세스도 잘돼있고
무엇보다 여기 고객상담이 정말 친절해요!"
불타는콩자반,2021-08-06 03:15:35-07:00,5,0,너무좋아요!,"진작 써볼껄 그랬어요!
제가 사고 싶은거는 꼭 구하는 스타일인데
이곳에서는 품절돼서 못사는 제품도 찾을수 있다는게 제일 큰 장점이네요
한국에서는 없는 제품도 트렌비에서는 구할 수 있구요ㅋㅋ
그리고 여기는 정품 프로세스도 잘되어있어서 믿고 구매하네요ㅎㅎ"
탄괴님,2021-08-06 01:04:53-07:00,4,0,한 곳에서 쉽고 빠르게 명품 쇼핑!,"요즘 사고 싶어도 못 사는게 명품인데.. 합리적인 가격으로 집에서 주문할 수 있다니 충격적으로 좋네요. 리셀 제품도 사진 꼼꼼히 찍어서 올려주고, 상태를 등급으로 나누어주니 도움이 됩니다. 사이트 끼고 하니 정품에 대한 걱정도 좀 덜 수 있을 거 같고요! 만족합니다."
jjiyee,2021-08-05 21:49:16-07:00,5,0,집콕 쇼핑가능!,"여러 브랜드 세일 목록을 한번에 보여져서 너무 좋았어요. 따로 가격비교 안해도 되고 배송일까지 정리가 다되서 보여지니깐 이렇게 편할수가 없네요. 코시국이라 해외쇼핑도 못가고... 면세도 이용 못하는데 명품,해외브랜드까지 방구석에서 구매할수 있다니 ... 최고예요!"
avernus2,2021-08-05 08:06:48-07:00,5,0,믿고 살 수 있네요ㅎㅎ,"원래 제가 백화점에서 사는거 아니면 안사는데 이유가
혹시나 모조품을 판매하면 어떻게 하냐 때문인데요
여기는 정품 프로세스가 잘 돼서 믿고 사네요ㅎㅎ
그리고 다양한 프로모션도 진행되던데
저는 앞으로 이 어플 자주 사용할꺼같아요"
Sjduwoxna,2021-08-05 00:58:59-07:00,5,0,좋아요,"덕분에 구하기 어려웠던 제품들 좋은 가격으로 살 수 있어 좋아요!
정품 프로세스가 잘 되어 있다 보니 믿고 구매할 수 있어서 아이쇼핑만 해도 마음이 편해요
마음에 드는 제품은 콕 찜 해놓을 수도 있고요 ㅎㅎㅎ
프로모션도 다양해서 사고 싶은 게 많아도 꾹 참고 있는 게 좀 힘들지만요 ㅎㅎ"
다쵸미쇼미,2021-08-04 22:24:18-07:00,5,4,진짜좋긴좋다,"전세계 세일 정보부터 다양한 프로모션이 진행되고 있어서 사고 싶은 거 잔뜩이에요~
모르는 부분에 있어서는 상담도 받아봤는데 안내해 주시는 분이 넘 친절하셔서 좋았어요
사근사근한 말투로 하나하나 다 알려주시는데 저처럼 소심한 사람들도
충분히 마음 편하게 상담을 할 수 있어서 최고네요!!!"
ㅇ삼,2021-08-04 02:37:10-07:00,5,0,백화점 안가도 되겠어요,"브랜드도 다양해서 굳이 여러 사이트 들락날락 안해도 되서 좋네요
게다가 프모션도 다양하게 진행하더라고요
지난번에 사려고했던 가방 품절되서 슬펐는데 트렌비에서 찾아서
요즘 잘 갖고 다니구 있어요^^ 이제 굳이 백화점가서 안살듯요~~"
으누파,2021-08-03 21:50:06-07:00,5,0,트렌비 조아여,트렌비 자주 애용하고 있는데 배송도 빠르고 좋은거 같습니다. 가격비교도 편해서 좋아요~!!^^
네이배,2021-08-02 22:33:39-07:00,5,8,한번에 편하게 사용할수 있어요,"아이템 하나 구매 전에 직접 가격 비교해야되고 해외 구매 해야될시에는 배송일까지 계산해 가면서 비교해야되는데 트랜비는 한번에 가격비교랑 배송일 정리가 다 되어있어서 편하게 선택할 수 있어서 좋았어요.

요즘 코로나때문에 해외 나가서 쇼핑 못하게 된것 때문에 아쉬움이 컸었는데 트렌비에서 그리고 완전 고가 명품부터 일반적인 해외 브랜드까지 구매 할수 있는게 좋았어요! 

참고루! 타임딜 잘만 이용하시면 저처럼 완전 싼가격에 득템하실수 있어요!!! 자주 확인해보세요!"
삐리리뽑뽀,2021-08-02 20:20:25-07:00,5,0,👍,"제품 하나 고르려고 하면
여기저기 돌아다니면서 찾아내기 바빴는데
트렌비는 아이쇼핑 하기에도 눈이 즐겁고
트렌디한 제품들이 다 모여 있어서
쇼핑할 맛이 나네요~ 
그리고 제일 좋은점은 최저가 스캐너~"
승연아니가그립다❤️,2021-08-02 18:35:31-07:00,1,0,제품에 대한 상세한 설명도 없고 전화도 안받고,벨트를 주문했는데 분명 남성->악세서리-> 벨트 이렇게 되있는데 오늘 벨트를 받고 나니까 여자한테도 안맞네요 ㅎ 사이즈도 제대로 표기안되있고 반품/교환 안되는 물품이라고만 되있고 전화를 몇번이나 드려도 안받으시네요
크왕하오이,2021-08-02 17:28:56-07:00,5,0,명품 살때 제일 좋은 어플,백화점가면 없거나 줄서기 싫고 오픈런은 더더욱 싫구요 ㅜㅜ 해외여행 가서 하나씩 구입하는 편인데 여행 못가는 요즘 저한테 최고의 어플입니다 ㅋㅋ 한눈에 보기 편하고 가격비교도 가능해서 좋고 좋은 상품 많이 볼 수 있어서 유용해요~ 구경만해도 재밌네요 ^^
샤클루이,2021-08-01 22:26:31-07:00,4,0,명품쇼핑은 이제 트렌비로~,"코로나 이후 백화점 쇼핑도 꺼려지는데, 트렌비 통해 여러 브랜드의 상품을 구경할 수 있어서 좋네요^^ 오늘의 타임딜~ 어떤게 뜰까 매일 기대되어요"
👍😆👍😆,2021-08-01 19:52:14-07:00,5,0,확실히 쇼핑이 편하네요,"쇼핑을 다 비교해볼 수 있다고 해서 사봤는데
그래서인지 확실히 명품 브랜드가 진짜 다양하고요
프로모션도 많이 진행되어서 좋더라고요
쇼핑할 때 검색이나 아이쇼핑도 편해서
앞으로도 정말 유용하게 잘 사용할 것 같아요
아! 정품 프로세스가 잘 되어 있으니 믿고 살 수 있다는 점
이게 최고죠"
달콤수,2021-08-01 19:41:09-07:00,5,0,한눈에 보이니 좋아요,"아무래도 여러 사이트에 갈 필요가 없다는 점이 가장 편하고요
(최저가 비교되는 것도 최고)
한국에서는 들어오지도 않았고 품절이 되어서 못 사는 제품들도
트렌비에서는 찾아볼 수 있으니 쇼핑할 때 기분이 진짜 좋아요~
사고 싶은 거 없으면 짜증이 팍 나는데 트렌비는 거의 다 있네요"
hhhhh^^,2021-07-30 08:05:44-07:00,5,0,타임딜 좋네요 ㅎㅎㅎ,아이폰12프로맥스 사용하는데 불편함 없이 잘 사용합니다. 타임딜 상품 저렴해서 좋아요 브랜드별 상품다양해서 구경하기도 좋네요
헤이브으으으ㅡㅇㅁ,2021-07-30 01:13:19-07:00,5,0,편하고 좋아요,"친구가 알려줘서 이용중인데,
여러브랜드 한눈에 볼 수 있어서 너무 편해요!
할인정보도 같이 나와있어서 좋네요ㅎㅎ"
피숑2,2021-07-29 19:53:20-07:00,5,0,좋아요,"저는 집에서 편하게 쇼핑하자 주의인데 이 앱은 너무 간편하네요! 할인도 하기 때문에 자주 들어가 보고 있어요
타 사이트, 앱에 비해서 편리하다고 느껴집니다 :) 배송도 은근 빨라서 좋아요"
휴우우오류좀제바라아아,2021-07-29 19:32:37-07:00,5,0,완전좋아요,"브랜드도 많아서 쇼핑하기 좋아요 
이벤트 할인도 해서 할인받아서 구입했어요 !!"
3bene,2021-07-29 01:10:02-07:00,4,0,괜찮네요,카톡 로그인하면 그냥 다른데는 바로 로그인되는데 정보를 추가로 다 넣어야 가입이 되서 조금 번거롭네요 원하는 브랜드 제품이 있어서 앱까지 깔았는데 시중가 대비 지금이 할인율이 좀 있다고 그래프가 나오니 좋네요 인기도도 같이 나오니 비교하기 좋아요 비교하면서 쇼핑하기 좋네요
센스님,2021-07-28 23:11:50-07:00,5,6,깔끔하고 간편해서 대만족,"먼저 깔끔함이 마음에 들었습니다. 카테고리별 희망하는 브랜드 찾기가 쉬웠고, 시세 체크가 바로바로 되니까 대박 간편했어요 거기에 정품만 취급하고 가품일때 200% 보상이니 믿고 살 수 있을것 같아요!! 맘에 들고 사고싶은 제품은 너무 많은데 아직 결정을 못했네요 ㅠ"
ms5306,2021-07-28 07:07:06-07:00,5,0,편리해요,세계적으로 쇼핑몰모아놓고 검색하고 구매할수있는 곳이라고해서 깔아봤는데 유용하네요 🤲
징니33,2021-07-27 19:52:18-07:00,5,0,좋아용,"트렌비 맨날 네이버쇼핑으로 코스 옷이나 자라옷 품절이거나 한거 찾아보다가 결국 앱까지 깔았어요 ㅎㅎ 
국내에 재고 있는 상품이라고 해도 트렌비가 가격 더 저렴해서 좋아용 !! 통장텅장각,,💸"
밤빵빵,2021-07-27 07:15:36-07:00,5,0,트렌비 깔고 다른 어플 다 지웠어요,"원래 사파리로 사이트 들어가서 쓰곤했는데
어플 받아서 쓰니까 편하네요

비슷한 어플리케이션 많던데
트렌비 깔고 나머지 다 지웠어요
제가 사용하기엔 이거만큼 편한 어플이 없는듯요"
코니코코,2021-07-27 03:50:55-07:00,5,0,괜찮네요 쇼핑하기 편함,"브랜드별로 전세계 세일 현황 볼수있는게 편하네요
상품 사진도 크면서 깔끔해서 보기 좋고 같은 디자인 다른 컬러 보러가는 것도 있어서 쇼핑하기 편리합니다"
치링치링,2021-07-27 02:41:43-07:00,5,0,예쁜 것들 너무 많아요,"인스타 광고에서 예뿐 거 많아서 보고 왔어요
제가 패션에 관심이 많아서
앞으로 자주 이용하게 될 둣
UI등등 구매에 너무 편하게 되어 있어요
원하는 아이템 검색도 편하고 굿"
luvluvmin,2021-07-27 02:06:45-07:00,4,0,사용편하고 좋으네요,"아이폰12 사용중인데
튕김 많고 접속 잘 안된다고 해서 걱정했는데
튕김 1도 없고
접속도 엄청 잘 되네요 
검색도 잘돼서 품목 찾기도 넘 좋네요"
맑음하루오늘,2021-07-26 22:49:59-07:00,5,0,다양하게 편하게 볼 수 있는 트렌비!,"평소에 가방이랑 지갑에 관심이 많은데, 세일도 많이하고 종류도 많아서 자주 구경한다. 핸드폰 어플이라 자주 볼 수 있어서 편하다. 특히 여러브랜드를 같이 볼 수 있어서 좋음 ! ! !"
☆☆☆☆☆☆☆☆☆♪♪♥,2021-07-26 20:54:37-07:00,5,0,다양한명품이있네요~!,평소에 매장가면 구하기 어려운 명품들이 다수 보입니다! 중저가 상품부터 고가까지 다양하네요~! 상품 찾아볼때 유용할 것 같아요~!!
별명입력 왜 이렇게 어렵나요,2021-07-25 22:42:44-07:00,5,0,사용하기가 편합니다!,"첫 화면에 할인하는 상품과 타임딜 상품 있어서 할인하는 제품을 쉽게 볼 수 있어서 편하고 좋네요!
제품 찾을때도 익일배송과 5일배송으로 나누어져 있어 주문하고 얼마나 기다려야하는지에 대해 염려 없이 찾을 수 있어 만족합니다!"
푸디이야,2021-07-25 22:42:22-07:00,5,0,너무 편해요,"트렌비 예전부터 알고있었지만
이제서야 다운받은게 후회될 정도에여
브랜드별로 한눈 쇼핑할수 있어서
너무 편해서 자주 이용하구있어요·ᴗ·"
루나틱피플,2021-07-25 22:37:49-07:00,4,0,카테고리별 정리가 잘 되 있어요~,카테고리 별로 정리가 잘되어있고 명품 타임딜도 신선한것 같아서 자주 들어올것 같습니다
아 장난하나 ㅡㅡ,2021-07-24 21:58:31-07:00,5,0,조음,다른 명품앱에 없는거 여기 다있음 ㄹㅇ 넘 조아염
